ft-MSL,acres,acre-feet
983.0,10966,267986
983.1,10992,269083
983.2,11018,270184
983.3,11043,271287
983.4,11069,272393
983.5,11095,273501
983.6,11120,274611
983.7,11146,275725
983.8,11172,276841
983.9,11197,277960
984.0,11223,279080
984.1,11249,280204
984.2,11275,281330
984.3,11301,282459
984.4,11328,283591
984.5,11354,284724
984.6,11380,285861
984.7,11406,287001
984.8,11432,288142
984.9,11458,289287
985.0,11485,290434
985.1,11511,291584
985.2,11537,292736
985.3,11563,293891
985.4,11590,295049
985.5,11616,296209
985.6,11642,297372
985.7,11668,298538
985.8,11694,299706
985.9,11720,300877
986.0,11746,302050
986.1,11771,303225
986.2,11797,304404
986.3,11823,305585
986.4,11850,306769
986.5,11876,307955
986.6,11902,309144
986.7,11927,310336
986.8,11952,311529
986.9,11976,312726
987.0,12001,313925
987.1,12025,315126
987.2,12050,316330
987.3,12074,317536
987.4,12099,318745
987.5,12124,319956
987.6,12149,321169
987.7,12175,322386
987.8,12200,323604
987.9,12225,324826
988.0,12250,326049
988.1,12275,327275
988.2,12300,328504
988.3,12326,329735
988.4,12351,330970
988.5,12376,332206
988.6,12402,333444
988.7,12427,334686
988.8,12452,335930
988.9,12478,337177
989.0,12503,338426
989.1,12529,339677
989.2,12554,340932
989.3,12579,342188
989.4,12604,343448
989.5,12629,344709
989.6,12653,345973
989.7,12677,347240
989.8,12701,348508
989.9,12726,349780
990.0,12750,351054
990.1,12774,352329
990.2,12798,353609
990.3,12822,354889
990.4,12846,356173
990.5,12870,357459
990.6,12895,358747
990.7,12919,360038
990.8,12943,361331
990.9,12967,362627
991.0,12992,363924
991.1,13017,365224
991.2,13041,366528
991.3,13066,367833
991.4,13091,369141
991.5,13116,370451
991.6,13141,371764
991.7,13167,373079
991.8,13193,374397
991.9,13219,375718
992.0,13245,377041
992.1,13271,378366
992.2,13297,379695
992.3,13325,381026
992.4,13359,382361
992.5,13393,383698
992.6,13428,385039
992.7,13463,386384
992.8,13497,387732
992.9,13530,389083
993.0,13562,390438
993.1,13592,391795
993.2,13622,393156
993.3,13651,394520
993.4,13680,395887
993.5,13709,397256
993.6,13737,398628
993.7,13766,400003
993.8,13795,401381
993.9,13823,402763
994.0,13850,404146
994.1,13876,405532
994.2,13903,406921
994.3,13928,408313
994.4,13953,409707
994.5,13977,411103
994.6,14001,412502
994.7,14025,413904
994.8,14049,415307
994.9,14073,416714
995.0,14097,418122
995.1,14121,419532
995.2,14145,420946
995.3,14170,422361
995.4,14196,423780
995.5,14221,425201
995.6,14246,426624
995.7,14270,428050
995.8,14296,429478
995.9,14321,430909
996.0,14346,432342
996.1,14371,433778
996.2,14395,435217
996.3,14419,436657
996.4,14443,438101
996.5,14467,439546
996.6,14490,440993
996.7,14514,442444
996.8,14537,443896
996.9,14560,445352
997.0,14583,446808
997.1,14606,448267
997.2,14629,449730
997.3,14652,451193
997.4,14675,452660
997.5,14698,454128
997.6,14721,455599
997.7,14744,457073
997.8,14768,458548
997.9,14791,460027
998.0,14816,461507
998.1,14840,462989
998.2,14865,464475
998.3,14891,465962
998.4,14918,467453
998.5,14947,468946
998.6,14978,470442
998.7,15015,471942
998.8,15123,473447
998.9,15237,474966
999.0,15289,476493
999.1,15326,478023
999.2,15358,479558
999.3,15389,481095
999.4,15419,482636
999.5,15449,484179
999.6,15478,485725
999.7,15508,487275
999.8,15538,488827
999.9,15570,490383
