ft-MSL, acres, acre-feet
603.5,5931,235591
603.6,5942,236185
603.7,5954,236780
603.8,5965,237375
603.9,5977,237973
604.0,5988,238571
604.1,6000,239170
604.2,6011,239771
604.3,6022,240372
604.4,6034,240975
604.5,6046,241579
604.6,6057,242184
604.7,6068,242791
604.8,6080,243398
604.9,6092,244007
605.0,6104,244616
605.1,6116,245227
605.2,6128,245840
605.3,6140,246453
605.4,6153,247068
605.5,6165,247683
605.6,6178,248300
605.7,6191,248919
605.8,6204,249539
605.9,6217,250160
606.0,6230,250782
606.1,6243,251406
606.2,6257,252031
606.3,6270,252657
606.4,6284,253285
606.5,6298,253914
606.6,6311,254544
606.7,6325,255176
606.8,6338,255809
606.9,6351,256444
607.0,6366,257080
607.1,6381,257717
607.2,6396,258356
607.3,6409,258996
607.4,6423,259638
607.5,6436,260280
607.6,6449,260925
607.7,6461,261570
607.8,6474,262217
607.9,6487,262865
608.0,6499,263514
608.1,6512,264165
608.2,6523,264817
608.3,6535,265470
608.4,6546,266124
608.5,6557,266779
608.6,6568,267435
608.7,6578,268092
608.8,6589,268751
608.9,6600,269410
609.0,6610,270071
609.1,6620,270732
609.2,6631,271395
609.3,6640,272058
609.4,6650,272723
609.5,6660,273388
609.6,6670,274055
609.7,6680,274722
609.8,6690,275391
609.9,6700,276060
610.0,6709,276731
610.1,6719,277402
610.2,6729,278074
610.3,6738,278748
610.4,6748,279422
610.5,6758,280097
610.6,6768,280774
610.7,6777,281451
610.8,6787,282129
610.9,6797,282808
611.0,6806,283488
611.1,6817,284169
611.2,6828,284852
611.3,6838,285535
611.4,6848,286220
611.5,6858,286905
611.6,6868,287591
611.7,6878,288278
611.8,6888,288967
611.9,6898,289656
612.0,6908,290346
612.1,6919,291038
612.2,6929,291730
612.3,6940,292424
612.4,6952,293118
612.5,6963,293814
612.6,6975,294511
612.7,6986,295209
612.8,6997,295908
612.9,7009,296609
613.0,7021,297310
613.1,7032,298012
613.2,7043,298716
613.3,7054,299421
613.4,7065,300127
613.5,7077,300834
613.6,7088,301542
613.7,7099,302252
613.8,7110,302962
613.9,7122,303674
614.0,7134,304387
614.1,7145,305100
614.2,7156,305816
614.3,7168,306532
614.4,7180,307250
614.5,7192,307968
614.6,7205,308688
614.7,7217,309409
